sf__Id,sf__Error,External_Id__c,Site_ID_by_Customer__c,Name,Site_Name_by_Customer__c,Account__c,sitetracker__Site_Status__c
"Site Names must be unique.  Please choose another name.:Name --""",713505367.0,50132245SNHZ027,遂宁大英卓筒井镇蓬乐路-E5H,50132245SNHZ027-遂宁大英卓筒井镇蓬乐路-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713505369.0,50132245SNHZ032,遂宁射洪涪西场镇-E5H,50132245SNHZ032-遂宁射洪涪西场镇-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713517844.0,50132245SNHZ012,遂宁大英象山营业厅-E5H,50132245SNHZ012-遂宁大英象山营业厅-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",713517864.0,50132245SNHZ011,遂宁大英天保-E5H,50132245SNHZ011-遂宁大英天保-E5H,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",723897324.0,50129779ZYRD004,ZYSF0865,50129779ZYRD004-ZYSF0865,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",723897332.0,50129779ZYRD007,ZYSF0863,50129779ZYRD007-ZYSF0863,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",723897334.0,50129779ZYRD001,ZYSF0867,50129779ZYRD001-ZYSF0867,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",723899171.0,50128715SN3D114,遂宁船山富源实验小学3DMIMO-ELH,50128715SN3D114-遂宁船山富源实验小学3DMIMO-ELH,0010w000011s3IzAAI,Active,
",""FIELD_CUSTOM_VALIDATION_EXCEPTION:Duplicate Site Name:",,,,,,,
"Site Names must be unique.  Please choose another name.:Name --""",827714338.0,50138133zy-MACRO-013,ZY5GHZ0376,50138133zy-MACRO-013-ZY5GHZ0376,0010w000011s3IzAAI,Active,
